iso3c,date,PCRISIS1,ROAA,NPLGROSSLOANS,PER,CREDITGDP,GDPG,GFCFG,GFCFGDP,HFCEG,HFCEGDP,CAGDP,INFL,REALRATE,DEPRATE
ARG,1993,0,1.39,,21.05333333,25.7123528,5.906919,13.62314,19.0564301,,69.20614786,-3.447867,10.61149,,11.34
ARG,1994,1,0.34,3.26,28.3875,26.24059975,5.836201,13.67227,19.93897607,6.068086,69.92192356,-4.330469,4.177347,7.010106,8.08
ARG,1995,0,-0.1,3.13,13.14,27.57321866,-2.84521,-13.08405,17.93773561,-4.377678,68.56090274,-2.005442,3.376117,14.23103,11.9
ARG,1996,0,0.77,3.5,22.8025,27.87949872,5.52669,8.883307,18.08217754,5.534673,68.52365866,-2.506827,0.1556959,10.5688,7.36
ARG,1997,0,1.17,2.81,27.66916667,29.96627386,8.111047,17.66286,19.37013012,8.976233,69.32655965,-4.179626,0.5272583,9.751701,6.97
ARG,1998,0,0.46,5.78,13.7775,31.90232829,3.850179,6.543968,19.93495199,3.475241,69.05338848,-4.860424,0.9203365,12.55428,7.56
ARG,1999,0,0.42,12.05,32.55083333,34.71580789,-3.385457,-12.60985,18.01402355,-1.997904,70.14210487,-4.220407,-1.166896,13.1175,8.05
ARG,2000,1,0.11,11.21,83.18833333,33.70455768,-0.7889989,-6.80426,16.19265337,-0.6600899,69.33196155,-3.144563,-0.9359394,9.945086,8.34
ARG,2001,1,0.5525,6.765,64.10166667,36.55835743,-4.40884,-15.66105,14.17912092,-5.741114,68.91189955,-1.481813,-1.066635,29.1203,16.16
ARG,2002,0,-0.32775,13.245,-122.7566667,61.92748675,-10.89449,-36.44758,11.96064305,-14.35435,61.89837421,9.367769,25.8685,16.17973,39.25
BRA,1993,1,1.16,,-4.924166667,148.2005886,4.9,5.035589,19.28312257,12.06824,60.08241406,0.00456309,,,
BRA,1994,1,1.01,,17.6375,62.21136199,5.9,6.753541,20.74808271,9.151609,59.63731301,-0.2110833,,,
BRA,1995,1,-0.54,,11.97333333,40.53457837,4.2,12.11101,20.54397187,16.34965,59.8753775,-2.575522,66.00703,,52.25
BRA,1996,1,-0.47,,25.88,40.09132522,2.7,-0.1646768,19.1149881,1.702871,62.64713469,-2.999995,15.75764,,26.45
BRA,1997,1,1.36,,15.41583333,43.43876437,3.3,6.202579,19.49350153,2.393199,62.67027125,-3.774828,6.926054,64.65543,24.35
BRA,1998,1,0.78,,9.644166667,55.57369552,0.1,-0.33,19.60238152,-3.36715,61.93376657,-4.294427,3.196228,77.68432,28
BRA,1999,0,1.36,,14.60666667,51.20332291,0.8,-7.24,19.08746258,1.509167,62.2994419,-4.733219,4.858503,70.74461,26.02
BRA,2000,0,1.09,3.67,17.76166667,45.50925989,4.4,4.46,21.81290437,13.20675,60.90342382,-4.0258,7.043924,44.78766,17.2
BRA,2001,0,2.114,7.036666667,9.729166667,54.88072436,1.4,1.06,20.59740427,0.3545595,60.54377277,-4.565899,6.840471,46.82651,17.86
BRA,2002,0,2.39,5.923333333,10.32,59.36455955,1.5,-4.08,18.98030277,-6.228032,58.03553718,-1.670186,8.447358,47.22794,19.14
CHL,1993,0,0.7,0.67,15.59666667,65.26600982,6.986287,17.95557,24.9210844,7.428129,65.90690352,-5.74543,12.72674,12.38778,18.24
CHL,1994,0,1.35,0.68,22.925,60.09245064,5.708119,6.186061,23.27779128,8.17634,64.63646051,-3.114743,11.44011,6.872811,15.12
CHL,1995,0,1.47,0.62,18.96916667,60.2692874,10.62758,23.49979,23.87220442,9.816661,62.55714821,-2.069435,8.235099,8.082775,13.73
CHL,1996,0,1.32,0.86,15.86416667,64.54636916,7.413492,8.918695,24.90346097,8.753321,64.9550593,-4.495786,7.35845,15.3983,13.48
CHL,1997,0,1.16,1.1,17.42166667,68.58713561,7.391919,11.50583,25.481953,8.449449,64.98742844,-4.861737,6.135314,11.23892,12.02
CHL,1998,0,0.83,1.75,13.51666667,71.52909706,3.924486,4.090998,26.00065358,4.770838,66.3366475,-5.363053,5.1079,17.22434,14.92
CHL,1999,0,0.64,2,23.32916667,69.6101833,-1.143676,-17.38757,21.07413306,-3.104066,65.67873171,0.1359937,3.338362,0.7480805,8.56
CHL,2000,0,0.94,1.79,35.09916667,72.60025789,4.4,8.5,21.02062458,4.147366,65.00352901,-1.188535,3.843299,10.19527,9.2
CHL,2001,0,1.266,1.316666667,20.395,76.31320603,2.800002,2,21.4290959,3.002477,65.26164575,-1.655572,3.569216,10.23791,6.19
CHL,2002,0,1.014,2.12,16.17583333,73.85923157,2.2,3,20.58699333,-1.853221,58.20602587,-1.313538,2.489187,0.1163832,3.8
CHN,1993,0,1.51,0.47,37.52142857,103.2271383,13.5,24.8,37.47719031,9.35479,45.27983739,-2.688635,14.58327,-3.119544,10.98
CHN,1994,0,1.32,0.26,25.21666667,92.18189284,12.6,17.7,36.04836675,7.69936,44.50399278,1.273284,24.23709,-7.440322,10.98
CHN,1995,0,1.26,0.57,,91.17703893,10.5,13.6,34.71470516,10.11365,46.07622341,0.2311069,16.89706,-0.9878253,10.98
CHN,1996,0,1.15,1.47,14.90333333,97.84501934,9.6,8.724849,34.37613244,12.05288,47.36317221,0.88709,8.324015,3.930005,7.47
CHN,1997,1,1.12,2.08,18.29083333,106.8232912,8.8,6.916368,33.78098535,5.452012,46.80819633,4.11503,2.806843,7.758546,5.67
CHN,1998,1,0.75,3.04,9.005833333,121.8564762,7.8,12.54534,35.26801897,6.760265,47.12618003,3.325792,-0.8446262,9.004737,3.78
CHN,1999,0,0.42,15.56,24.09083333,130.396479,7.1,9.068392,35.91621033,8.013376,47.92938487,2.129912,-1.407892,8.223619,2.25
CHN,2000,0,0.38,8.67,49.12916667,132.7087532,8,9.647714,36.46416991,8.618743,47.94513352,1.898547,0.2553048,4.861744,2.25
CHN,2001,0,0.208,20.99333333,24.8625,138.5976234,7.5,11.52391,37.82908663,6.257971,47.16456284,1.480035,0.4634444,4.61372,2.25
CHN,2002,0,0.192,21.506,13.00416667,166.4347756,8,14.88456,40.24053684,6.596803,46.31570007,2.797831,-0.7653991,5.620917,1.98
IDN,1993,0,0.86,,19.17333333,48.49684377,7.254076,6.599612,26.2806492,11.76923,56.38552945,-1.332854,9.682745,10.75179,14.55
IDN,1994,0,0.92,,23.58583333,51.3398446,7.540062,13.75571,27.57068775,7.827441,58.97393567,-1.578363,8.520612,9.26327,12.53
IDN,1995,0,1,0.02,20.31416667,52.73565771,8.396358,13.99487,28.42981109,12.58436,60.86521848,-3.181584,9.433363,8.339212,16.72
IDN,1996,1,1.11,0.13,23.25416667,55.03635217,7.642779,14.51439,29.60236064,9.720913,61.64433462,-3.370282,7.970047,9.520954,17.26
