code,goveff,corrup,tgdp,infl,hdi,unempl,start_business,gdppc
ALB,-0.070645057,-0.55289042,2.77,1.896,0.733,17.1,58,3945.998
DZA,-0.511863232,-0.614451289,3.9,4.784,0.736,11.194,145,4174.823
AGO,-1.146913052,-1.452597737,3.007,10.287,0.532,6.800000191,141,3876.197
ARM,-0.169273406,-0.440860063,3.016,3.731,0.733,17.705,5,3520.949
AUS,1.590635777,1.869787812,2.444,1.532,0.935,6.075,11,51180.949
AUT,1.568161249,1.437439442,0.862,0.809,0.885,5.733,106,43413.633
AZE,-0.338886708,-0.92062974,1.1,4.049,0.751,6.048,7,5739.433
BHR,0.590915799,0.299461216,2.863,1.836,0.824,3.900000095,140,24057.579
BGD,-0.770675361,-0.910451531,6.812,6.431,0.57,4.300000191,117,1291.973
BLR,-0.495878845,-0.320556402,-3.888,13.523,0.798,1.52,12,5749.099
BEL,1.399301887,1.552397609,1.374,0.62,0.89,8.5,20,40528.933
BLZ,-0.674839497,-0.189475268,1.044,-0.862,0.715,10.114,159,4785.263
BEN,-0.498997539,-0.780429363,4.964,0.271,0.48,1,115,780.45
BTN,0.270389497,1.274802208,5.214,6.336,0.605,3.2,91,2590.709
BOL,-0.593755007,-0.640318394,4.848,4.061,0.662,4,178,3099.219
BIH,-0.466256738,-0.281817913,3.158,-1.018,0.733,27.7,175,4140.483
BWA,0.32131961,0.799274445,-0.255,3.041,0.698,18.20000076,143,6771.268
BRA,-0.154615194,-0.37831071,-3.848,9.03,0.755,8.525,174,8669.653
BRN,1.08199811,0.633458555,-0.551,-0.448,0.856,6.9,74,30993.112
BGR,0.090118624,-0.283894181,2.968,-1.067,0.782,9.235,52,6842.914
BFA,-0.558241129,-0.525002599,4.027,0.914,0.402,3.099999905,78,614.627
BDI,-1.094306707,-1.193353176,-3.956,5.553,0.4,6.900000095,19,304.31
KHM,-0.678407967,-1.081862569,7.036,1.225,0.555,0.400000006,180,1144.492
CMR,-0.741300762,-1.153098464,5.8,2.75,0.512,4.300000191,137,1235.061
CAN,1.759718299,1.817848921,1.078,1.105,0.913,6.892,3,43280.329
CAF,-1.84076488,-1.150226355,4.8,4.5,0.35,7.400000095,189,332.366
