ISO,GDP,TGDP18,TGDP23,GDPPC,HDI,INV,DEBT,POP17,POP23,TPOP23,URB,TURB25,BCIT25,LCIT25,START,INFRA,INSTI,COMMO,CORRU
DZA,188.342,2.916720451,1.380461518,4449.792,0.754,50.621,39.158,41318142,45178849,1.499926967,72.052,4.553292359,2,2,150,61.22711688,44.38538276,97.32869853,35
ARG,475.429,-0.310722646,1.861510844,10667.104,0.825,23.737,55.2698,44271041,46707020,0.896725261,91.749,1.079925779,4,6,128,67.60645268,51.54316539,71.89492461,40
ARM,12.533,4.084195172,4.559929174,4190.152,0.755,22.505,52.1422,2930450,2939169,0.049527152,63.103,0.227225888,1,0,8,66.267848,54.00025512,80.08033911,35
AUS,1427.767,2.633370888,2.650126494,56698.098,0.939,24.347,37.6598,24598933,26446201.06,1.214135721,85.904,1.435839297,5,2,7,77.92436338,73.62990834,88.00557673,77
AUT,459.401,1.838747222,1.609673775,51707.556,0.908,25.633,66.0266,8809212,8915515.069,0.200117186,58.094,0.591874051,1,0,118,88.31753955,72.70312474,15.18844475,76
BEL,536.055,1.476179058,1.501014542,46978.654,0.916,24.876,96.8224,11372068,11689689.51,0.460172911,97.961,0.623953465,1,2,33,86.49825864,69.77989716,26.94287027,75
BOL,41.833,4.614006298,3.859991256,3719.247,0.693,21.516,54.4492,11051600,12034817,1.430614249,69.08,1.991351563,0,0,178,56.21156098,41.21206265,95.41769613,29
BRA,1909.386,-0.844250735,2.258971456,9126.864,0.759,16.063,94.808,209288278,217937210,0.677188818,86.309,1.059971173,22,14,140,64.32980149,49.68122887,64.01672992,35
BGR,63.651,3.205427579,2.859830851,9080.255,0.813,21.497,20.5402,7075991,6786266.306,-0.69435473,74.669,-0.21937501,1,0,99,69.93841844,53.56133061,40.54305598,42
CMR,38.445,4.69537037,4.928238539,1544.959,0.556,29.084,35.0532,24053727,27955755,2.537204904,55.777,7.316426823,2,4,92,42.05452161,42.98722856,92.2612488,25
CAN,1733.706,2.073640998,1.777673283,46733.032,0.926,23.831,80.5396,36708083,38645211.66,0.860781962,81.35,0.978867761,6,5,3,80.64872231,75.49083831,48.76117529,81
CHL,299.887,2.156429955,3.116099433,16143.419,0.843,22.444,26.4968,18054726,18858777,0.728825601,87.49,0.872692893,1,2,72,75.23833311,63.6371303,87.08051862,67
CHN,13457.267,6.873777515,5.949231827,9633.099,0.752,44.183,59.7602,1386395000,1411141003,0.295297587,57.96,4.289840705,153,91,28,78.1243117,54.56375309,6.340865162,39
COL,336.94,2.843135626,3.608674294,6761.223,0.747,21.548,44.7192,49065615,51243819,0.726568827,80.446,1.229126888,6,6,100,63.00472647,50.26451512,79.91883306,36
CIV,45.875,8.237634704,6.760905525,1791.372,0.492,23.705,45.6738,24294750,28182319,2.504763667,50.326,6.995250913,2,0,26,51.18856383,44.52808988,85.01193032,35
HRV,59.971,2.274972547,2.319841988,14637.462,0.831,20.446,63.9936,4125700,3985493.169,-0.574586924,56.667,-0.084210646,0,1,123,76.83478046,51.98017208,32.64203592,48
CZE,244.54,3.55752409,2.634335421,23085.19,0.888,26.542,28.5708,10591323,10601463.17,0.015950363,73.675,0.214709439,1,0,115,83.51634694,60.4826208,9.274177418,59
DNK,354.683,1.884877942,1.785419757,61226.976,0.929,21.392,32.1188,5769603,5902899.92,0.381399954,87.757,0.512888202,1,0,42,86.29662718,75.85018854,28.04484885,88
ECU,107.266,1.212643677,1.478056118,6301.074,0.752,25.273,51.7078,16624858,18028434,1.360017449,63.67,1.679786732,2,1,168,69.71297029,48.39369265,93.85534179,34
EGY,249.471,4.220364077,5.855298887,2572.382,0.696,15.466,81.124,97553151,108116982,1.728373804,42.705,3.833820429,2,6,109,70.49110275,48.08600189,53.78426901,35
EST,29.527,3.0310769,2.966951708,22416.701,0.871,26.421,7.9928,1315480,1294895.491,-0.262515292,68.717,0,0,0,15,75.21303351,69.54161951,30.62446477,73
ETH,83.836,9.402400876,7.996257351,890.565,0.463,39.474,55.7968,104957438,120741324,2.36239818,20.31,9.458416592,1,2,167,45.50981611,44.87165252,85.3428124,34
FIN,276.553,1.474679078,1.382466902,50068.076,0.92,22.909,58.5048,5511303,5622992.273,0.334941025,85.325,0.424463479,1,0,43,82.29343674,80.97823927,26.21253819,85
FRA,2794.696,1.409266761,1.618717998,42930.768,0.901,23.655,95.041,67118648,68591255.63,0.362373973,80.18,0.719940747,4,7,30,90.12851947,69.50018593,19.13301353,72
DEU,4029.14,2.036036784,1.466581107,48669.628,0.936,20.353,49.983,82695000,83140637.76,0.08961453,77.261,0.268693916,4,7,114,90.20232869,73.45756725,11.41036881,80
GHA,51.815,5.239062042,5.295206961,1786.652,0.592,13.769,63.7868,28833629,32665069,2.101168473,55.407,6.604058373,2,1,108,50.25757149,55.72018247,94.60173234,41
GRC,218.057,0.717022889,1.707374299,20311.014,0.87,12.605,163.0202,10760421,10617552.29,-0.222521586,78.724,0.216082989,1,1,44,76.21311322,50.48104752,63.80611619,45
GTM,79.109,3.382941847,3.593366044,4582.654,0.65,12.146,26.0398,16913503,18909715,1.876786237,50.68,2.71293145,1,2,89,58.30285199,43.5225505,59.78019076,27
HUN,156.393,3.556760597,2.539190648,16016.041,0.838,23.267,65.9016,9781127,9572917.987,-0.357968489,71.062,0.069488746,1,0,82,78.37949135,54.17436286,12.98325733,46
IND,2689.992,7.330624105,7.680287705,2016.152,0.64,31.464,65.3258,1339180127,1425158481,1.042487109,33.6,2.400434655,65,70,137,68.69229806,57.90300829,38.8413945,41
IDN,1005.268,5.024069893,5.244883211,3788.952,0.694,33.418,29.5626,263991379,279933839,0.982071626,54.659,2.297471875,12,10,134,66.8275147,57.89529082,58.15778067,38
IRN,430.082,3.156316784,0.709503338,5221.974,0.798,39.106,36.8264,81162788,85608868,0.892828979,74.394,1.727097369,0,0,173,65.36739096,44.25150034,79.94254816,28
IRL,366.448,9.870871812,3.198270394,75192.292,0.938,27.064,58.6518,4813608,5051364.999,0.806763551,62.947,1.143990702,1,0,10,77.04566505,73.12824165,12.87588899,73
ISR,365.599,3.389408533,3.164336815,41179.827,0.903,20.938,61.1254,8712400,9523079.305,1.493897998,92.336,1.650300433,2,1,45,83.25800107,66.32505264,27.77815206,61
ITA,2086.911,0.918968922,0.810135101,34349.219,0.88,18.098,126.7748,60551416,60013976.39,-0.148479333,70.144,0.294439189,4,12,67,83.07040801,56.39546837,15.69059086,52
JPN,5070.626,1.111256232,0.57410779,40105.78,0.909,24.455,235.7886,126785797,124572145.3,-0.293136116,91.535,-0.144761101,8,3,93,91.45506566,71.13023393,7.642238687,73
JOR,41.869,2.350569434,2.820310699,4227.541,0.735,19.448,88.0224,9702353,10473935,1.283523291,90.747,2.455355751,0,1,106,66.57582248,57.6961508,23.82856362,49
KAZ,184.209,2.835559737,3.50428053,9977.414,0.8,25.505,15.832,18037646,19120104.97,0.97605564,57.336,1.301506778,1,1,36,67.32396683,54.88224448,84.79780745,31
KOR,1655.608,2.976900924,2.690643014,32046.001,0.903,31.192,42.26,51466201,52452370.96,0.316838158,81.503,0.304182274,10,10,11,91.33924681,65.44976224,10.73398918,57
KWT,144.523,0.138574227,3.762946221,31915.515,0.803,22.206,33.984,4136528,4483898,1.353004182,100,1.798938924,1,0,133,69.34885425,56.01897762,83.64962842,41
LVA,34.286,3.056878701,3.065256263,17634.365,0.847,23.253,32.0804,1940740,1834218.143,-0.9364384,68.075,-0.93235347,0,1,24,73.10055819,57.88693669,37.93058965,58
LBN,56.709,1.288759383,2.298516317,12453.703,0.757,19.97514038,162.2782,6082357,5782760,-0.838319803,88.429,0.756648908,1,0,146,58.53885965,45.24409427,54.78225742,28
LTU,52.468,3.062207281,2.425128323,18856.852,0.858,18.282,29.7704,2827721,2753315.554,-0.443434669,67.516,-0.306284469,0,1,31,74.70183911,60.90457876,36.97058992,59
MDG,12.499,3.95095738,5.126211934,474.784,0.519,17.072,40.7224,25570895,29938052,2.66275981,36.522,9.127740543,1,0,81,28.57425289,46.25827055,75.35338309,25
MYS,347.29,5.181470935,4.78396281,10703.606,0.802,24.331,51.354,31624264,34131170,1.27955664,75.447,2.151775787,3,6,122,77.88827197,68.70005624,33.05606199,47
MEX,1199.264,2.643803834,2.810143409,9614.276,0.774,22.481,53.6898,129163276,138322966,1.148444139,79.867,1.603068296,14,22,94,72.91396451,47.72987156,17.71740929,28
MAR,118.178,3.131934342,4.04677033,3355.423,0.667,34.438,61.5354,35739580,38319726,1.168542138,61.908,4.096559915,5,4,34,71.53939577,56.56543559,30.80576404,43
MOZ,14.601,4.994533788,5.37577617,481.248,0.437,40.046,125.06,29668834,35131420,2.856688407,35.455,8.977669975,3,2,174,37.3058547,41.18334482,95.27508022,23
NLD,909.887,2.248991045,2.150891372,52931.158,0.931,21.279,44.7994,17132854,17423457.87,0.280719029,91.077,0.739282731,2,1,22,92.38478925,77.92882623,35.26168134,82
NZL,205.997,3.51576194,2.8804945,41615.923,0.917,25.365,27.0176,4793900,5048084.323,0.864793806,86.466,1.018209415,1,0,1,76.11185968,81.55430325,80.41925469,87
NGA,397.472,1.982564892,2.448293912,2050.152,0.532,13.637,28.8726,190886311,222348372,2.575394242,49.519,8.497596176,15,25,120,42.3045186,41.74195765,98.05536406,27
NOR,441.439,1.811750921,1.886064937,82372.378,0.953,28.232,36.358,5282223,5579127.218,0.915588094,81.871,1.406406112,0,1,22,74.65276384,76.71553563,79.80340224,84
PER,228.944,3.260306231,4.057744486,7118.427,0.75,22.343,26.604,32165485,34418978,1.134960944,77.72,1.448835304,2,2,125,62.36260738,50.16285838,90.65953635,35
PHL,331.678,6.457290673,6.736000154,3099.26,0.699,27.504,37.9902,104918090,114497013,1.466799873,46.682,2.012196735,4,7,166,59.42349237,48.29118296,19.19075189,36
POL,549.478,3.817699345,2.984389246,14468.827,0.865,21.506,46.0944,37975841,37434418.28,-0.239041145,60.105,-0.246606755,1,4,121,79.25923058,57.10376288,20.09814585,60
PRT,237.962,1.861117291,1.48987555,23175.766,0.847,17.333,110.1236,10293718,10079421.04,-0.350019025,64.652,0.476026671,2,0,57,83.27770014,63.87351419,24.23149309,64
QAT,188.295,2.802527502,2.738387496,67818.328,0.856,44.60304137,42.106,2639211,2937159,1.798698156,99.078,2.443794084,0,1,84,80.0179673,63.77554307,89.6551279,62
ROU,239.44,4.595653131,3.231969487,12189.452,0.811,24.349,40.4858,19586539,19020232.18,-0.487794408,53.936,-0.383852378,1,0,111,71.23638,58.11843479,17.52262998,47
SAU,769.878,2.151325426,2.185510646,23186.743,0.853,26.602,21.953,32938213,36311124,1.638116843,83.622,2.192832533,5,4,141,75.45054695,62.18344811,75.67029823,49
SEN,24.24,6.666721518,6.785013612,1485.402,0.505,25.861,45.6082,15850567,18606962,2.708198415,46.74,7.592852843,1,0,64,51.82215983,52.52531868,68.92150533,45
SRB,47.654,1.49803734,3.899535705,6814.809,0.787,21.337,50.2682,7022268,6877304.781,-0.347053283,55.942,-0.069060839,1,0,40,72.95129596,51.59583205,28.96519695,39
SGP,346.621,3.011324101,2.66667997,61230.153,0.932,27.848,115.6372,5612253,5977973.678,1.057711595,100,1.405291921,1,0,3,95.70355345,80.73755935,23.73709966,85
SVK,106.94,3.444101758,3.707743255,19642.098,0.855,23.479,43.3346,5439892,5439382.727,-0.001560363,53.751,0,0,1,127,77.58222423,56.42601197,11.21924641,50
SVN,54.969,3.565418591,2.641096802,26586.048,0.896,20.295,64.1796,2066748,2066642.674,-0.000849387,54.273,0.56701013,0,0,38,76.91035758,63.07875251,15.25099924,60
ZAF,376.679,1.152312862,1.719220073,6560.041,0.699,18.117,59.8768,56717156,60610627,1.112703349,65.85,3.762005008,7,3,134,68.60919331,53.7632187,57.89335977,43
